T	TCOM
E	ELECTRICAL
FD	FIRE PROTECTION DEMO
L	LIGHTING
TD	TCOM DEMO
M	MECHANICAL
F	FIRE PROTECTION
P	PLUMBING
MD	MECHANICAL DEMO
EA	ELECTRICAL AUXILIARY
ED	ELECTRICAL DEMO
PD	PLUMBING DEMO
AA01		AA
AA02		AA
AA03		AA
BA01		BA
BA02		BA
PD01	IS THIS HERE.	PD
PD02		PD
PD03		PD
PD04	WE CAN DO THIS.	PD
PD05		PD
PD06	WE CAN DO THIS.	PD
PD07	WE CAN DO THIS.	PD
PD08	WE CAN DO THIS.	PD
PD09		PD
PD10		PD
PD11		PD
ED01	REMOVE EXISTING RECEPTACLE INCLUDING ALL ASSOCIATED BRANCH CIRCUIT WIRING AND RACEWAY BACK TO SOURCE.	ED
ED02		ED
ED03		ED
ED04		ED
ED05		ED
ED06		ED
ED07		ED
ED08		ED
ED09		ED
ED10		ED
EA01		EA
EA02		EA
EA03		EA
EA04		EA
EA05		EA
EA06		EA
EA07		EA
EA08		EA
EA09		EA
EA10		EA
EA11		EA
MD01	DRDR FWET YGUO VASE	MD
MD02		MD
MD03		MD
MD04		MD
MD05	AQESW WUHW TREE LANDING	MD
MD06		MD
MD07		MD
MD08		MD
MD09		MD
MD10		MD
P01		P
P02		P
P03	HEY JOE WHAT ARE YOU DOING WITH THAT GUM IN YOUR MOUTH?	P
P04		P
P05		P
P06	SAY WHAT	P
P07		P
P08		P
P09		P
P10		P
P11		P
F01	WE HAVE THIS CAT AND MOUSE GAME.	F
F02	AND A DOG.	F
F03	THERE ARE FISH IN THE WATER TANK.	F
F04		F
F05		F
F06		F
F07	WHAT IS HERE.	F
F08		F
F09		F
F10		F
F11		F
F12		F
F13		F
F14		F
F15		F
F16	CFCFCFCFC	F
F17		F
F18		F
F19	AQSS	F
F20	BRAND NEW NOTE goes here.	F
F21	WE ARE MAKING THIS NOTE.	F
F22		F
F23		F
F24		F
F25		F
M01	PROPOSED GAS METER LOCATION:  COORDINATE WITH LOCAL NATURAL GAS UTILITY COMPANY FOR METER SET SIZED FOR A TOTAL CONNECTED LOAD OF 6,247-CFH WITH A DELIVERY PRESSURE OF 2-PSIG.  PROVIDE CONCRETE METER PAD PER THE LOCAL GAS COMPANY'S REQUIREMENTS AND SIZE.	M
M02	2-INCH MAIN BUILDING NATURAL GAS LINE ABOVE GRADE WITH SHUT-OFF VALVE.	M
M03	2-INCH NATURAL GAS LINE IN OPEN TRENCH WITH STEEL GRATING, SEE CIVIL DRAWINGS.  SUPPORT PIPING WITH STAINLESS STEEL UNTISTRUT FRAMING, MINIMUM 2-INCHES ABOVE TRENCH FLOOR.	M
M04	NATURAL GAS MAIN EXTENSION BELOW GRADE BY LOCAL GAS COMPANY.	M
M05	POUNDS TO INCHES GAS PRESSURE REGULATOR SIZED FOR EQUIPMENT CONNECTED LOAD AND INLET PRESSURE REQUIREMENTS.	M
M06	CONCRETE BASE FOR MECHANICAL EQUIPMENT, SEE CIVIL DRAWINGS.  VERIFY BUYZ WITH APPROVED SHOP DRAWINGS.	M
M07	DASHED LINES INDICATE RECOMMENDED SERVICE, COIL PULLING SPACE, FILTER REMOVAL SPACE, AND/OR AIRFLOW CLEARANCES.	M
M08	3/4-INCH NATURAL GAS LINE BELOW SLAB WITHIN VENTED SLEEVE.  SEE LOWER LEVEL FLOOR PLAN FOR CONTINUATION.  PROVIDE GAS SHUT-OFF VALVE AND FLEXIBLE HOSE ADAPTER.  FINAL CONNECTION TO COOK TOP BY KITCHEN EQUIPMENT INSTALLER.	M
M09	OUTSIDE AIR INTAKE LOUVER, SEE ARCHITECTURAL DRAWINGS.	M
M10	4-INCH HIGH CONCRETE HOUSEKEEPING PAD BELOW EQUIPMENT.  PAD BUYZ SHALL BE COORDINATED WITH APPROVED SHOP DRAWING AND SHALL BE A MINIMUM OF 6-INCHES LARGER ON ALL SIDES.	M
M11	TERMINATE COOLING COIL DRAIN LINE OVER NEAREST FLOOR DRAIN OR INDIRECT WASTE.  PROVIDE TRAP AS INDICATED ON PIPING DETAIL.	M
